k1,k2,k3,k4
0.0086319,0.26672,-0.16444,-0.47864
0.009495,0.13509,-0.12214,-0.5218
0.009495,-0.098403,0.050065,-0.079845
0.0090634,-0.051791,0.10703,0.1407
0.0086319,0.17868,0.038412,0.07596
0.0086319,0.43591,-0.095382,0.1161
0.0077687,0.71256,0.0086319,0.094087
0.0077687,1.0703,0.058265,0.10962
0.0073371,1.0134,-0.058265,0.10142
0.0073371,0.47044,0.059128,0.10703
0.0069055,-0.026759,0.12948,0.10531
0.0025896,-0.10229,0.077687,0.1066
0.0056107,0.14631,0.002158,0.10747
0.0069055,0.48684,-0.059128,0.10747
0.0069055,0.76176,-0.057833,0.1079
0.0069055,0.89383,0.058697,0.10833
0.0069055,0.85542,0.068192,0.10833
0.0064739,0.50842,-0.0043159,0.10919
0.0051791,0.14545,0.041001,0.11006
0.0051791,0.31506,0.011221,0.11049
0.0047475,0.98748,-0.049633,0.11092
0.0038843,1.4014,-0.068623,0.11092
0.0030211,1.5421,-0.063013,0.11092
0.0025896,1.6703,-0.043591,0.11178
0.0025896,1.5326,-0.044886,0.11221
0.0025896,0.86577,0.026759,0.11178
0.002158,0.41692,0.10142,0.11135
0.0025896,0.37031,0.078981,0.11092
0.0038843,0.30643,-0.0073371,0.11178
0.0030211,-0.078118,0.015106,0.11178
0.0017264,-0.57186,0.088045,0.11178
0.0025896,-0.81096,0.085024,0.11178
0.0030211,-0.81398,0.056107,0.11178
0.0030211,-0.75831,0.028054,0.11178
0.0030211,-0.84894,0.035822,0.11221
0.0025896,-0.92663,-0.052654,0.11265
0.0025896,-1.06,-0.11998,0.11265
0.002158,-1.23,-0.069918,0.11221
0.002158,-0.90117,-0.040138,0.11221
0.002158,-0.32024,0.032801,0.11178
0.002158,-0.076392,-0.075097,0.11135
0.002158,-0.29176,-0.048338,0.11135
0.002158,-0.43159,0.079845,0.11221
0.0025896,-0.026759,0.079845,0.11265
0.002158,0.31506,-0.025896,0.11265
0.002158,-0.27492,-0.12646,0.11178
0.0025896,-1.1938,-0.041001,0.11178
0.0025896,-1.2887,0.074666,0.11221
0.0025896,-1.1165,0.059128,0.11221
0.002158,-1.5511,0.0073371,0.11221
0.0025896,-2.4044,0.024601,0.11221
0.002158,-2.8148,0.10315,0.11178
0.002158,-2.5744,-0.012516,0.11178
0.002158,-2.1774,-0.08934,0.11178
0.002158,-2.0009,-0.16271,0.11221
0.002158,-1.9745,-0.088476,0.11221
0.0025896,-1.3423,0.07596,0.11221
0.0025896,-0.50367,-0.10876,0.11178
0.0030211,-0.43548,-0.19379,0.11221
0.0034527,-0.61631,0.00086319,0.11221
0.0038843,-0.46871,0.047907,0.11221
0.0038843,-0.16271,-0.028485,0.11178
0.0017264,-0.080708,0.0082003,0.11178
0.0025896,-0.29391,0.20285,0.11221
0.0025896,-0.12689,0.15063,0.11178
0.0025896,0.43634,0.044886,0.11178
0.002158,0.5874,-0.022011,0.11265
0.0017264,0.10617,0.052223,0.11265
0.0017264,-0.36599,0.024601,0.11265
0.0017264,-0.71213,0.047044,0.11221
0.00086319,-0.68148,0.031506,0.11221
0,-0.3798,-0.069486,0.11178
0,-0.19033,-0.028917,0.11221
0.0012948,0.11135,-0.0017264,0.11221
0.0017264,0.59344,-0.041433,0.11221
0.0012948,0.50669,0.028485,0.11178
0.002158,0.022874,0.11653,0.11178
0.0025896,0.072939,0.00086319,0.11221
0.0030211,0.080708,-0.05136,0.11221
0.0043159,0.082003,0.053949,0.11221
0.0051791,0.34225,-0.022874,0.11178
0.0043159,0.36944,-0.048338,0.11178
0.0038843,0.28312,0.050065,0.11178
0.0034527,0.77773,0.046612,0.11178
0.0025896,1.123,-0.14804,0.11135
0.002158,1.4225,-0.11869,0.11135
0.0012948,1.6953,-0.05956,0.11092
0.0012948,1.2857,-0.051791,0.11092
0.0017264,0.54769,0.067328,0.11135
0.0025896,0.43936,0.25248,0.11178
0.002158,0.45058,-0.077255,0.11135
0.002158,0.085024,-0.047475,0.11135
0.002158,-0.22141,0.021148,0.11135
0.0025896,-0.2391,-0.035391,0.11092
0.0025896,0.097972,0.17868,0.11092
0.002158,-0.14674,0.2719,0.11092
0.002158,-1.1183,0.15839,0.11092
0.0017264,-1.7065,0.039707,0.11092
0.0012948,-1.0233,-0.070781,0.11092
0,-0.063013,-0.1735,0.11092
0,0.36297,-0.28356,0.11092
0,0.5697,-0.11178,0.11135
-0.00086319,0.76867,0.12128,0.11135
-0.0012948,1.0647,0.087613,0.11135
-0.0017264,0.83988,0,0.11092
-0.0030211,0.37635,0.029348,0.11092
-0.0030211,0.46267,0.031506,0.11092
-0.002158,0.57186,0.059991,0.11135
-0.00043159,0.058697,0.076392,0.11135
0,-0.67846,-0.053517,0.11092
0.00043159,-1.0639,-0.018558,0.11049
0,-1.4014,0.020285,0.11049
0.0012948,-1.8468,0.082434,0.11135
-0.0017264,-2.0272,0.15149,0.11092
-0.002158,-1.9288,0.01899,0.11092
0.00043159,-1.8127,-0.11308,0.11092
-0.00086319,-1.3556,-0.14113,0.11092
-0.00086319,-0.50626,-0.17738,0.11049
-0.00086319,0.09754,-0.23608,0.11092
-0.00086319,0.11135,-0.090634,0.11092
-0.00086319,-0.30168,0.095382,0.11092
-0.00043159,-0.47864,0.083297,0.11135
0,-0.21536,0.0099266,0.11092
0.00043159,0.19335,-0.11265,0.11092
0.00043159,0.42296,-0.044886,0.11092
-0.00043159,0.34312,0.031506,0.11178
-0.00043159,0.11092,0.058697,0.11178
0,-0.21364,0.050928,0.11178
-0.0012948,-0.59862,0.14588,0.11135
-0.0025896,-0.86275,0.10315,0.11092
-0.002158,-0.9098,0.047475,0.11092
-0.002158,-0.54251,0.012948,0.11135
-0.0025896,0.15192,-0.04618,0.11135
-0.002158,0.88045,-0.20026,0.11092
-0.0012948,1.6219,-0.12732,0.11092
-0.0012948,2.0483,-0.068623,0.11092
-0.002158,2.0945,0.097108,0.11135
-0.0025896,1.7328,0.26586,0.11135
-0.002158,1.4208,0.17997,0.11135
-0.0025896,0.67717,0.088908,0.11092
-0.0043159,-0.063013,0.018127,0.11092
-0.0030211,-0.27881,-0.074666,0.11092
-0.0030211,-0.15106,-0.10142,0.11092
-0.0034527,0.49978,0.1161,0.11092
-0.0030211,1.4195,0.0090634,0.11092
-0.0025896,1.5801,-0.11653,0.11092
-0.002158,0.96763,-0.048338,0.11092
-0.00086319,0.84851,0.070781,0.11092
-0.00043159,0.99871,-0.028485,0.11092
0,1.4514,-0.21105,0.11092
0.00043159,1.3284,-0.10142,0.11135
0.0012948,0.64221,-0.041864,0.11135
0.00086319,0.49719,0.11221,0.11092
0.00086319,0.38584,0.19206,0.11092
0.00086319,-0.12171,0.025896,0.11092
0.00086319,-0.70479,0.061286,0.11092
0.0012948,-0.63703,0.097972,0.11092
0.0017264,-0.22831,0.015969,0.11092
0.0012948,-0.15235,0.044022,0.11092
0.0025896,-0.52741,-0.085024,0.11092
0.0034527,-0.96634,-0.11308,0.11092
0.0043159,-1.057,-0.12905,0.11135
0.0043159,-0.73155,-0.15235,0.11092
0.0047475,0.14545,0.10358,0.11092
0.0030211,1.0613,0.10272,0.11049
0.0034527,0.89426,0.037549,0.11092
0.0051791,0.032369,0.096677,0.11135
0.0043159,-0.59776,0.054812,0.11092
0.0038843,-0.91713,-0.11567,0.11092
0.0030211,-0.90203,0.01899,0.11092
0.0030211,-0.65559,0.21493,0.11092
0.002158,-0.074234,0.060855,0.11092
0.002158,-0.45015,0.094087,0.11092
0.0034527,-1.4091,0.081571,0.11092
0.0047475,-1.9232,-0.044022,0.11135
0.0047475,-1.9232,-0.10272,0.11092
0.0047475,-1.5865,-0.21321,0.11092
0.0047475,-0.97756,-0.21191,0.11049
0.0056107,0.13293,-0.047044,0.11049
0.0060423,0.36254,0.0073371,0.11049
0.0069055,0.0043159,0.064739,0.11092
0.0073371,-0.61286,0.0099266,0.11049
0.0069055,-1.1368,0.05136,0.11049
0.0069055,-1.2356,0.085887,0.11049
0.0077687,-0.74622,-0.21062,0.11049
0.0064739,-0.52697,-0.20328,0.11092
0.0073371,-0.63142,-0.097108,0.11049
0.0077687,-0.45965,0.026327,0.10962
0.0073371,-0.3483,0.022011,0.10962
0.0077687,-0.24687,0.057402,0.10962
0.0077687,-0.23392,0.11178,0.10962
0.0077687,0.05136,0.054381,0.10962
